date,open,high,low,close,chg,chgPct,volume,value 
2014/7/28,2276.00 ,2357.60 ,2275.00 ,2336.40 ,61.80 ,2.72 ,891896.00 ,621486641152.00 
2014/7/29,2340.40 ,2359.60 ,2329.20 ,2335.40 ,(1.00),(0.04),687886.00 ,483052273664.00 
2014/7/30,2333.00 ,2348.40 ,2325.00 ,2328.80 ,(6.60),(0.28),713562.00 ,499864731648.00 
2014/7/31,2330.00 ,2371.20 ,2323.00 ,2370.80 ,42.00 ,1.80 ,775762.00 ,545009639424.00 
2014/8/1,2365.00 ,2391.80 ,2333.20 ,2342.60 ,(28.20),(1.19),929869.00 ,659455774720.00 
2014/8/4,2343.20 ,2392.40 ,2343.20 ,2386.40 ,43.80 ,1.87 ,901824.00 ,640852414464.00 
2014/8/5,2388.20 ,2394.20 ,2360.60 ,2368.00 ,(18.40),(0.77),830224.00 ,591179608064.00 
2014/8/6,2363.60 ,2377.20 ,2337.40 ,2362.00 ,(6.00),(0.25),865135.00 ,612346466304.00 
2014/8/7,2366.40 ,2376.20 ,2330.80 ,2334.40 ,(27.60),(1.17),848414.00 ,598693298176.00 
2014/8/8,2334.40 ,2349.80 ,2326.00 ,2338.60 ,4.20 ,0.18 ,697998.00 ,489580752896.00 
2014/8/11,2346.00 ,2376.40 ,2342.00 ,2360.00 ,21.40 ,0.92 ,728559.00 ,516535746560.00 
2014/8/12,2362.00 ,2366.80 ,2345.00 ,2365.80 ,5.80 ,0.25 ,593424.00 ,419184431104.00 
2014/8/13,2367.00 ,2373.40 ,2335.20 ,2358.80 ,(7.00),(0.30),554012.00 ,391321001984.00 
2014/8/14,2365.00 ,2366.80 ,2333.00 ,2335.60 ,(23.20),(0.98),248949.00 ,175734226944.00 
2014/8/15,2342.00 ,2365.00 ,2333.80 ,2360.20 ,24.60 ,1.05 ,78527.00 ,55372535040.00 
2014/8/18,2378.00 ,2394.00 ,2367.40 ,2376.20 ,16.00 ,0.68 ,701287.00 ,500285734912.00 
2014/8/19,2379.80 ,2384.20 ,2357.00 ,2374.40 ,(1.80),(0.08),698616.00 ,497365479424.00 
2014/8/20,2374.00 ,2378.60 ,2361.00 ,2364.40 ,(10.00),(0.42),666923.00 ,473986314240.00 
2014/8/21,2367.00 ,2369.40 ,2336.20 ,2354.80 ,(9.60),(0.41),685140.00 ,483331379200.00 
2014/8/22,2356.20 ,2374.40 ,2351.60 ,2372.20 ,17.40 ,0.74 ,691779.00 ,490295222272.00 
2014/8/25,2373.60 ,2377.20 ,2341.80 ,2348.00 ,(24.20),(1.02),676285.00 ,477781938176.00 
2014/8/26,2347.80 ,2355.60 ,2327.80 ,2337.60 ,(10.40),(0.44),722864.00 ,508116865024.00 
2014/8/27,2338.60 ,2347.60 ,2333.40 ,2336.00 ,(1.60),(0.07),517339.00 ,363194380288.00 
2014/8/28,2336.60 ,2343.80 ,2321.60 ,2330.60 ,(5.40),(0.23),631839.00 ,442183753728.00 
2014/8/29,2327.80 ,2352.80 ,2327.60 ,2351.60 ,21.00 ,0.90 ,585425.00 ,410788589568.00 
2014/9/1,2353.00 ,2359.00 ,2341.80 ,2349.60 ,(2.00),(0.09),553454.00 ,390499106816.00 
2014/9/2,2352.00 ,2395.60 ,2347.40 ,2389.40 ,39.80 ,1.69 ,801993.00 ,569538437120.00 
2014/9/3,2393.60 ,2424.80 ,2391.00 ,2411.60 ,22.20 ,0.93 ,814246.00 ,589442736128.00 
2014/9/4,2413.80 ,2446.00 ,2411.20 ,2445.60 ,34.00 ,1.41 ,771774.00 ,561495326720.00 
2014/9/5,2450.00 ,2475.40 ,2443.20 ,2470.20 ,24.60 ,1.01 ,862928.00 ,635809521664.00 
2014/9/9,2471.00 ,2473.00 ,2449.00 ,2457.60 ,(12.60),(0.51),605014.00 ,446159667200.00 
2014/9/10,2451.00 ,2453.20 ,2427.40 ,2441.40 ,(16.20),(0.66),663006.00 ,485065703424.00 
2014/9/11,2441.20 ,2478.60 ,2417.60 ,2418.00 ,(23.40),(0.96),1044577.00 ,765525372928.00 
2014/9/12,2419.00 ,2445.80 ,2415.80 ,2439.20 ,21.20 ,0.88 ,779624.00 ,568571478016.00 
2014/9/15,2430.00 ,2442.00 ,2421.00 ,2433.00 ,(6.20),(0.25),649235.00 ,473685991424.00 
2014/9/16,2434.60 ,2452.00 ,2386.20 ,2394.20 ,(38.80),(1.59),892304.00 ,649410547712.00 
2014/9/17,2404.60 ,2408.80 ,2386.60 ,2402.00 ,7.80 ,0.33 ,530455.00 ,381919744000.00 
2014/9/18,2402.00 ,2415.00 ,2392.20 ,2405.80 ,3.80 ,0.16 ,244568.00 ,176328052736.00 
2014/9/19,2418.00 ,2421.80 ,2402.40 ,2419.40 ,13.60 ,0.57 ,86754.00 ,62785192192.00 
2014/9/22,2438.20 ,2438.60 ,2375.60 ,2389.20 ,(30.20),(1.25),813739.00 ,585866776576.00 
2014/9/23,2387.60 ,2416.80 ,2387.00 ,2403.80 ,14.60 ,0.61 ,752765.00 ,542797197312.00 
2014/9/24,2402.80 ,2469.80 ,2393.00 ,2468.40 ,64.60 ,2.69 ,1032475.00 ,755009921024.00 
2014/9/25,2476.00 ,2495.80 ,2445.00 ,2454.60 ,(13.80),(0.56),974558.00 ,723245969408.00 
2014/9/26,2446.60 ,2464.60 ,2435.20 ,2450.80 ,(3.80),(0.15),833638.00 ,612935606272.00 
2014/9/29,2450.00 ,2462.40 ,2440.20 ,2455.20 ,4.40 ,0.18 ,610894.00 ,449590599680.00 
2014/9/30,2460.20 ,2466.80 ,2445.20 ,2453.20 ,(2.00),(0.08),563308.00 ,415202111488.00 
2014/10/8,2468.00 ,2486.00 ,2446.80 ,2483.60 ,30.40 ,1.24 ,684472.00 ,506567012352.00 
2014/10/9,2487.00 ,2494.80 ,2467.20 ,2475.00 ,(8.60),(0.35),643682.00 ,479203835904.00 
2014/10/10,2468.20 ,2483.00 ,2457.00 ,2469.80 ,(5.20),(0.21),714532.00 ,529315139584.00 
2014/10/13,2465.20 ,2467.00 ,2425.00 ,2454.40 ,(15.40),(0.62),718714.00 ,526834487296.00 
2014/10/14,2449.60 ,2462.40 ,2423.20 ,2438.60 ,(15.80),(0.64),719856.00 ,528044511232.00 
2014/10/15,2440.00 ,2465.80 ,2425.40 ,2455.00 ,16.40 ,0.67 ,762348.00 ,559637475328.00 
2014/10/16,2445.00 ,2475.80 ,2438.40 ,2446.60 ,(8.40),(0.34),435024.00 ,320586846208.00 
2014/10/17,2447.80 ,2453.00 ,2417.20 ,2438.00 ,(8.60),(0.35),95434.00 ,69775908864.00 
2014/10/20,2454.80 ,2459.60 ,2442.20 ,2453.80 ,15.80 ,0.65 ,641808.00 ,472426741760.00 
2014/10/21,2453.60 ,2463.80 ,2436.20 ,2439.40 ,(14.40),(0.59),747899.00 ,549699870720.00 
2014/10/22,2442.80 ,2453.20 ,2426.20 ,2428.60 ,(10.80),(0.44),705278.00 ,516224888832.00 
2014/10/23,2426.60 ,2436.60 ,2402.60 ,2405.60 ,(23.00),(0.95),814216.00 ,590850662400.00 
2014/10/24,2408.00 ,2413.60 ,2396.00 ,2396.60 ,(9.00),(0.37),616341.00 ,444908081152.00 
2014/10/27,2391.00 ,2391.80 ,2368.20 ,2381.00 ,(15.60),(0.65),706590.00 ,504419352576.00 
2014/10/28,2383.00 ,2428.40 ,2383.00 ,2425.80 ,44.80 ,1.88 ,737404.00 ,531505917952.00 
2014/10/29,2429.40 ,2471.60 ,2423.80 ,2457.60 ,31.80 ,1.31 ,872767.00 ,640100782080.00 
2014/10/30,2460.00 ,2473.60 ,2452.20 ,2469.60 ,12.00 ,0.49 ,843691.00 ,622934114304.00 
2014/10/31,2474.00 ,2525.00 ,2471.00 ,2523.20 ,53.60 ,2.17 ,1110664.00 ,832184135680.00 
2014/11/3,2524.80 ,2529.60 ,2508.20 ,2511.20 ,(12.00),(0.48),675518.00 ,510817030144.00 
2014/11/4,2510.20 ,2518.00 ,2504.80 ,2511.00 ,(0.20),(0.01),632316.00 ,476398510080.00 
2014/11/5,2512.20 ,2524.60 ,2500.20 ,2515.20 ,4.20 ,0.17 ,746368.00 ,562202124288.00 
2014/11/6,2518.00 ,2521.00 ,2488.60 ,2517.20 ,2.00 ,0.08 ,829996.00 ,624167321600.00 
2014/11/7,2520.00 ,2549.80 ,2486.60 ,2496.40 ,(20.80),(0.83),1180315.00 ,892026613760.00 
2014/11/10,2520.60 ,2568.80 ,2508.20 ,2564.80 ,68.40 ,2.74 ,1079730.00 ,820936495104.00 
2014/11/11,2566.80 ,2591.60 ,2532.00 ,2549.40 ,(15.40),(0.60),1328659.00 ,1022237106176.00 
2014/11/12,2551.00 ,2590.80 ,2543.60 ,2584.20 ,34.80 ,1.37 ,968069.00 ,743768506368.00 
2014/11/13,2584.00 ,2588.80 ,2561.00 ,2570.80 ,(13.40),(0.52),1018479.00 ,786554875904.00 
2014/11/14,2568.80 ,2578.20 ,2548.80 ,2578.20 ,7.40 ,0.29 ,868800.00 ,668519673856.00 
2014/11/17,2601.20 ,2613.40 ,2559.60 ,2567.00 ,(11.20),(0.43),998777.00 ,773622767616.00 
2014/11/18,2569.00 ,2570.40 ,2535.60 ,2545.00 ,(22.00),(0.86),675994.00 ,517226110976.00 
2014/11/19,2541.80 ,2551.00 ,2531.20 ,2533.60 ,(11.40),(0.45),392169.00 ,299002683392.00 
2014/11/20,2529.80 ,2544.20 ,2518.60 ,2543.40 ,9.80 ,0.39 ,181200.00 ,137647419392.00 
2014/11/21,2540.00 ,2566.20 ,2530.40 ,2566.00 ,22.60 ,0.89 ,75443.00 ,57649823232.00 
2014/11/24,2621.00 ,2697.40 ,2616.60 ,2674.40 ,108.40 ,4.22 ,1312102.00 ,1046770868224.00 
2014/11/25,2680.00 ,2727.40 ,2670.00 ,2724.40 ,50.00 ,1.87 ,1024900.00 ,828033404928.00 
2014/11/26,2724.60 ,2750.60 ,2713.40 ,2745.60 ,21.20 ,0.78 ,1244011.00 ,1019918913536.00 
2014/11/27,2747.40 ,2767.40 ,2728.00 ,2754.80 ,9.20 ,0.34 ,1123763.00 ,925670989824.00 
2014/11/28,2754.00 ,2826.00 ,2741.80 ,2826.00 ,71.20 ,2.58 ,1230047.00 ,1021395369984.00 
2014/12/1,2820.00 ,2843.20 ,2797.00 ,2809.20 ,(16.80),(0.59),1141574.00 ,965943693312.00 
2014/12/2,2807.40 ,2988.00 ,2805.60 ,2936.00 ,126.80 ,4.51 ,1843418.00 ,1595677278208.00 
2014/12/3,2946.00 ,3062.00 ,2942.00 ,2996.20 ,60.20 ,2.05 ,2127834.00 ,1917831741440.00 
2014/12/4,3002.20 ,3198.60 ,3002.00 ,3195.80 ,199.60 ,6.66 ,1966443.00 ,1821977870336.00 
2014/12/5,3210.00 ,3259.20 ,3107.00 ,3183.00 ,(12.80),(0.40),2183892.00 ,2083662331904.00 
2014/12/8,3173.00 ,3351.40 ,3134.00 ,3327.20 ,144.20 ,4.53 ,1833507.00 ,1782203744256.00 
2014/12/9,3308.40 ,3471.00 ,3005.00 ,3143.00 ,(184.20),(5.54),2555554.00 ,2544593403904.00 
2014/12/10,3159.80 ,3305.40 ,3124.00 ,3229.60 ,86.60 ,2.76 ,2140875.00 ,2070960930816.00 
2014/12/11,3209.00 ,3279.80 ,3172.20 ,3207.80 ,(21.80),(0.68),1702846.00 ,1647445540864.00 
2014/12/12,3213.80 ,3298.00 ,3190.20 ,3215.80 ,8.00 ,0.25 ,1441658.00 ,1399375265792.00 
2014/12/15,3198.80 ,3277.80 ,3171.20 ,3244.00 ,28.20 ,0.88 ,1084793.00 ,1045714915328.00 
2014/12/16,3236.20 ,3332.80 ,3235.00 ,3322.80 ,78.80 ,2.43 ,1287895.00 ,1265697357824.00 
2014/12/17,3339.00 ,3368.00 ,3265.60 ,3363.60 ,40.80 ,1.23 ,909493.00 ,909563887616.00 
2014/12/18,3400.00 ,3400.00 ,3333.00 ,3361.80 ,(1.80),(0.05),230722.00 ,233150509056.00 
2014/12/19,3364.00 ,3373.00 ,3290.20 ,3352.20 ,(9.60),(0.29),74486.00 ,74660962304.00 
2014/12/22,3506.00 ,3512.40 ,3396.00 ,3399.40 ,47.20 ,1.41 ,1631397.00 ,1698871377920.00 
2014/12/23,3405.00 ,3464.60 ,3311.60 ,3313.00 ,(86.40),(2.54),1596976.00 ,1632245907456.00 
2014/12/24,3308.00 ,3347.60 ,3195.60 ,3259.00 ,(54.00),(1.63),1772554.00 ,1737434464256.00 
2014/12/25,3275.00 ,3383.40 ,3254.80 ,3381.00 ,122.00 ,3.74 ,1751079.00 ,1735468449792.00 
2014/12/26,3380.40 ,3518.40 ,3353.80 ,3483.00 ,102.00 ,3.02 ,1808425.00 ,1857383563264.00 
2014/12/29,3520.40 ,3593.80 ,3410.80 ,3474.60 ,(8.40),(0.24),1704383.00 ,1802752950272.00 
2014/12/30,3475.00 ,3531.00 ,3441.00 ,3482.60 ,8.00 ,0.23 ,1824842.00 ,1908500463616.00 
2014/12/31,3488.00 ,3596.40 ,3477.00 ,3593.20 ,110.60 ,3.18 ,1354714.00 ,1435257208832.00 
2015/1/5,3619.00 ,3768.80 ,3585.20 ,3671.40 ,78.20 ,2.18 ,1303810.00 ,1432621154304.00 
2015/1/6,3664.00 ,3707.80 ,3610.00 ,3656.80 ,(14.60),(0.40),1522728.00 ,1672543666176.00 
2015/1/7,3655.80 ,3684.20 ,3615.40 ,3663.20 ,6.40 ,0.18 ,1294935.00 ,1419711610880.00 
2015/1/8,3676.60 ,3679.60 ,3553.00 ,3562.00 ,(101.20),(2.76),1565105.00 ,1689177358336.00 
2015/1/9,3570.00 ,3718.00 ,3511.00 ,3528.00 ,(34.00),(0.95),1713171.00 ,1851708080128.00 
2015/1/12,3567.00 ,3575.00 ,3463.60 ,3537.60 ,9.60 ,0.27 ,1268691.00 ,1340928884736.00 
2015/1/13,3535.80 ,3568.80 ,3501.20 ,3529.60 ,(8.00),(0.23),1104965.00 ,1171874512896.00 
2015/1/14,3536.00 ,3563.40 ,3471.60 ,3504.20 ,(25.40),(0.72),1026731.00 ,1086020784128.00 
2015/1/15,3509.00 ,3627.60 ,3483.00 ,3625.00 ,120.80 ,3.45 ,748861.00 ,795344351232.00 
2015/1/16,3600.00 ,3653.40 ,3600.00 ,3641.20 ,16.20 ,0.45 ,131799.00 ,143492526080.00 
2015/1/19,3519.80 ,3519.80 ,3316.20 ,3316.20 ,(325.00),(8.93),1063324.00 ,1094468206592.00 
2015/1/20,3303.00 ,3448.80 ,3300.00 ,3394.40 ,78.20 ,2.36 ,1734080.00 ,1764034215936.00 
2015/1/21,3405.00 ,3581.80 ,3405.00 ,3546.00 ,151.60 ,4.47 ,1459796.00 ,1531725807616.00 
2015/1/22,3555.00 ,3595.00 ,3524.20 ,3561.20 ,15.20 ,0.43 ,1192074.00 ,1274995474432.00 
2015/1/23,3579.60 ,3649.00 ,3551.60 ,3597.00 ,35.80 ,1.01 ,1448937.00 ,1564936568832.00 
2015/1/26,3605.00 ,3635.20 ,3571.40 ,3626.80 ,29.80 ,0.83 ,1064911.00 ,1151397199872.00 
2015/1/27,3639.40 ,3643.00 ,3508.20 ,3574.60 ,(52.20),(1.44),1322288.00 ,1420518948864.00 
2015/1/28,3567.20 ,3603.60 ,3511.00 ,3523.60 ,(51.00),(1.43),1367393.00 ,1457800413184.00 
2015/1/29,3478.00 ,3516.60 ,3450.80 ,3493.60 ,(30.00),(0.85),1232704.00 ,1290211688448.00 
2015/1/30,3506.40 ,3532.80 ,3420.00 ,3429.20 ,(64.40),(1.84),1374952.00 ,1433114050560.00 
2015/2/2,3357.00 ,3427.00 ,3353.00 ,3397.00 ,(32.20),(0.94),1094811.00 ,1111645814784.00 
2015/2/3,3400.00 ,3467.20 ,3380.60 ,3455.40 ,58.40 ,1.72 ,1224371.00 ,1254549422080.00 
2015/2/4,3472.00 ,3508.60 ,3383.00 ,3392.00 ,(63.40),(1.83),1228877.00 ,1275733803008.00 
2015/2/5,3499.80 ,3537.00 ,3345.60 ,3355.20 ,(36.80),(1.08),1513768.00 ,1568379437056.00 
2015/2/6,3361.40 ,3390.40 ,3287.20 ,3344.60 ,(10.60),(0.32),1318691.00 ,1325657292800.00 
2015/2/9,3329.20 ,3400.20 ,3315.60 ,3376.20 ,31.60 ,0.94 ,1240607.00 ,1249781350400.00 
2015/2/10,3375.60 ,3440.40 ,3354.00 ,3437.40 ,61.20 ,1.81 ,1263639.00 ,1290076815360.00 
2015/2/11,3443.60 ,3469.60 ,3433.00 ,3447.00 ,9.60 ,0.28 ,1011176.00 ,1046918238208.00 
2015/2/12,3449.60 ,3470.00 ,3419.00 ,3455.80 ,8.80 ,0.26 ,817005.00 ,844808675328.00 
2015/2/13,3462.80 ,3531.20 ,3457.60 ,3466.00 ,10.20 ,0.30 ,870585.00 ,912100126720.00 
2015/2/16,3468.00 ,3509.80 ,3468.00 ,3506.80 ,40.80 ,1.18 ,327353.00 ,342756315136.00 
2015/2/17,3510.00 ,3540.00 ,3508.80 ,3519.00 ,12.20 ,0.35 ,173039.00 ,183097798656.00 
2015/2/25,3529.00 ,3529.00 ,3475.00 ,3493.20 ,(25.80),(0.73),66962.00 ,70310297600.00 
2015/2/26,3488.00 ,3616.80 ,3473.60 ,3612.60 ,119.40 ,3.42 ,1058250.00 ,1124393091072.00 
2015/2/27,3614.80 ,3624.00 ,3572.00 ,3587.20 ,(25.40),(0.70),960924.00 ,1038505861120.00 
2015/3/2,3630.00 ,3636.00 ,3578.00 ,3606.20 ,19.00 ,0.53 ,1150857.00 ,1244965109760.00 
2015/3/3,3600.60 ,3601.00 ,3507.60 ,3539.60 ,(66.60),(1.85),1131315.00 ,1206748839936.00 
2015/3/4,3532.40 ,3562.80 ,3502.80 ,3533.20 ,(6.40),(0.18),1180790.00 ,1253216550912.00 
2015/3/5,3530.00 ,3533.60 ,3473.20 ,3506.60 ,(26.60),(0.75),1189131.00 ,1249730953216.00 
2015/3/6,3508.60 ,3529.20 ,3480.60 ,3490.20 ,(16.40),(0.47),1017878.00 ,1069905985536.00 
2015/3/9,3471.20 ,3575.00 ,3420.40 ,3564.40 ,74.20 ,2.13 ,1210246.00 ,1266538250240.00 
2015/3/10,3571.20 ,3571.80 ,3521.20 ,3527.80 ,(36.60),(1.03),1061772.00 ,1128233631744.00 
2015/3/11,3518.00 ,3598.60 ,3512.00 ,3542.20 ,14.40 ,0.41 ,1232780.00 ,1315900751872.00 
2015/3/12,3558.80 ,3629.40 ,3555.00 ,3592.00 ,49.80 ,1.41 ,1320085.00 ,1423461580800.00 
2015/3/13,3610.00 ,3651.80 ,3597.40 ,3622.80 ,30.80 ,0.86 ,1167051.00 ,1269420785664.00 
2015/3/16,3618.00 ,3718.00 ,3617.40 ,3713.80 ,91.00 ,2.51 ,1066131.00 ,1176012521472.00 
2015/3/17,3725.00 ,3766.80 ,3719.40 ,3765.00 ,51.20 ,1.38 ,1099739.00 ,1234391728128.00 
2015/3/18,3768.80 ,3860.80 ,3760.80 ,3813.00 ,48.00 ,1.27 ,976338.00 ,1114016776192.00 
2015/3/19,3822.20 ,3847.60 ,3807.00 ,3829.80 ,16.80 ,0.44 ,371347.00 ,426651406336.00 
2015/3/20,3835.00 ,3895.60 ,3830.20 ,3886.60 ,56.80 ,1.48 ,117495.00 ,135918653440.00 
2015/3/23,3950.00 ,4003.00 ,3945.20 ,3994.20 ,107.60 ,2.77 ,1304328.00 ,1555496370176.00 
2015/3/24,4002.00 ,4008.20 ,3921.00 ,3963.60 ,(30.60),(0.77),1386556.00 ,1650595725312.00 
2015/3/25,3966.80 ,3987.40 ,3915.40 ,3951.80 ,(11.80),(0.30),1284394.00 ,1523778650112.00 
2015/3/26,3941.20 ,3993.80 ,3891.20 ,3934.00 ,(17.80),(0.45),1604325.00 ,1899927896064.00 
2015/3/27,3935.40 ,3991.80 ,3924.00 ,3985.60 ,51.60 ,1.31 ,1296462.00 ,1538666790912.00 
